# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 495, mean track length: 2.6020202020202019
257 -5.5385719917387881 0.86664917487158677 16.069856713240693 158 118 82 0.10685563404980954 82 2593 8 916
256 2.4209048370103075 0.7179189413395668 15.881298345427203 32 33 25 0.30649519397988989 82 2592 8 1019
255 2.2011504848421155 0.67014186789663088 15.889037730422126 124 92 69 0.15166306562702953 82 2591 8 767
254 -0.63388673560502951 0.42472373198769237 16.7343788701988 144 116 112 1.2271923038075669 82 2588 8 915 6 1401 16 890 5 1118
253 -0.94273803996623651 0.44946567576532553 16.511006573925762 129 105 108 0.066017170756413057 82 2587 8 914
252 -3.1438929450704345 0.43277818123914241 16.146826035445329 101 78 81 0.82840001619284964 82 2586 8 913 43 2857
251 2.1798281072610046 0.21120415856462238 15.707538724224582 47 39 33 0.27526210079881575 82 2585 8 912
250 -5.110758147022243 -0.0028981845444864124 15.761393710564334 209 168 121 0.10130363842013056 82 2584 8 911
249 1.3078619749044675 -0.34220758184163574 15.705011196592027 127 102 80 0.74369534416589933 82 2582 8 909
248 1.2035895194654278 -1.1552331137220315 15.247311650922429 62 35 25 0.24698264295167521 82 2581 8 754
247 -3.8944097588705575 -1.5902008671570591 15.094672763496531 193 158 129 0.10110598553408529 82 2575 8 746
246 0.15267965571364139 -1.7088180192488132 15.0758602080935 33 21 13 0.43494104449540105 82 2574 8 903
245 -2.7243064510978252 -2.1195032856963074 14.937910467347692 9 9 7 0.13659049523269931 82 2569 8 899
244 -1.027513732518812 -2.2364567644652964 14.88355446570718 114 94 81 0.012663199359562515 82 2567 8 745
243 -0.5099956178215741 -2.5853611159640941 14.483457462478698 10 9 1 0.038465138458789877 82 2566 8 738
242 -0.98271383333279239 -2.6209020718343856 14.551262010431827 33 29 18 0.056072705710897633 82 2565 8 897
241 -0.76034883033383338 -2.6962820419364606 14.347567981079518 14 11 4 0.18812590074109417 82 2564 8 737
240 -1.7027011505658116 -2.9087912465511172 14.32890945178659 165 155 146 0.13903401734507909 82 2563 8 735
239 1.0669571786646468 5.5022431721396643 17.502855645718114 163 139 111 0.1667963841588439 82 2558 8 821
238 0.55523686211906542 5.6609715658985156 17.680337448173816 39 26 16 0.15672675172835743 82 2557 8 820
237 -0.071537551043342501 5.5923869068412797 17.726529966044573 70 46 32 0.1873095331491666 82 2556 8 608
236 2.1369611414471641 5.1924966761071971 17.173802055793377 117 99 79 0.0060446809968057007 82 2555 8 611
235 -5.3619052441069615 5.28134027766525 17.403826644525964 90 60 34 0.17574361499910673 82 2554 8 606
234 -5.6750471302523033 5.3147632172748054 17.415559400042856 83 66 50 0.29207369380263332 82 2553 8 237
233 0.54619067593095627 4.9551993364652507 17.69196497818568 24 17 9 0.062803051132289775 82 2552 8 817
232 0.54619067593095627 4.9551993364652507 17.69196497818568 24 17 9 0.062803051132289775 82 2551 8 816
231 -4.1943421885956687 5.02533800270984 17.820401510223917 26 25 20 0.13743057252644331 82 2550 8 814
230 -5.8180081040131038 4.5350885423803859 17.050243027046474 231 198 165 0.038212166712541386 82 2549 8 811
